1.73938,-1.73938,-3.64975,-4.22448,-3.65228,-3.55205,-3.98849,-3.64958,-1.55609,1.55609
-1.73938,1.73938,3.64975,4.22448,3.65228,3.55205,3.98849,3.64958,1.55609,-1.55609
-3.30937,3.30937,6.39391,7.07155,7.47491,8.13819,7.82181,5.49582,2.23688,-2.23688
-3.49635,3.49635,6.66292,8.5106,9.95013,10.2566,8.70132,6.24362,2.78984,-2.78984
-3.0461,3.0461,6.95918,9.72177,11.0669,10.5855,9.1903,7.04439,3.29557,-3.29557
-3.05611,3.05611,7.56702,10.1633,10.8313,10.5049,9.61312,7.60969,3.48497,-3.48497
-3.21465,3.21465,7.22868,9.02322,9.68786,9.83986,9.22213,7.09089,2.91287,-2.91287
-2.55156,2.55156,5.2469,6.59049,7.36731,7.63461,6.9587,5.06054,2.14315,-2.14315
-1.03485,1.03485,2.09005,2.73241,3.16878,3.21734,2.73989,2.0704,1.04272,-1.04272
1.03485,-1.03485,-2.09005,-2.73241,-3.16878,-3.21734,-2.73989,-2.0704,-1.04272,1.04272
